company,total_sites,inspected,inspector_problem,silt,inlet,gravel,veg,general,enforced,problem_no_enforcement
ALABAMA DEPARTMENT OF TRANSPORTATION,924,180,119,18,13,3,21,109,23,109
ALABAMA POWER COMPANY,631,73,57,11,6,4,21,47,8,51
BROADWAY GROUP LLC THE,535,408,313,29,10,20,49,289,45,282
DR HORTON INC,506,321,220,91,80,31,65,183,99,150
MOBILE COUNTY COMMISSION,187,135,47,3,4,5,4,47,28,39
BELLSOUTH COMMUNICATIONS INC,176,23,19,0,0,0,1,19,1,18
HUNTSVILLE CITY OF,140,75,50,0,0,0,0,50,9,43
ADAMS HOMES LLC,111,97,68,31,26,11,13,63,33,43
TENNESSEE VALLEY AUTHORITY,95,26,21,0,0,0,0,21,1,21
BALDWIN COUNTY COMMISSION,86,58,52,18,12,6,18,49,16,37
LENNAR HOMES OF ALABAMA LLC,83,35,17,5,3,1,3,17,9,14
BRASFIELD AND GORRIE LLC,66,23,16,0,3,1,2,13,4,13
SPIRE ALABAMA INC,65,8,7,1,1,0,2,5,1,6
DSLD HOMES GULF COAST LLC,64,52,39,25,19,14,16,31,18,25
U S ARMY,63,3,1,0,0,0,1,0,1,1
GRAYSON CARTER AND SON CONTRACTING INC,62,19,14,1,0,1,1,13,3,12
TRULAND HOMES LLC,61,52,45,33,21,18,8,38,12,34
MOBILE CITY OF,57,28,7,0,1,1,1,6,4,6
AUBURN UNIVERSITY,53,16,4,0,1,0,0,3,5,4
LEGACY NEW HOMES LLC,50,13,0,0,0,0,0,0,4,0
JACKS FAMILY RESTAURANTS LP,47,29,17,2,0,0,1,17,4,14
POWERSOUTH ENERGY COOPERATIVE INC,46,18,10,0,2,1,1,9,1,9
CHICK FIL A INC,46,27,15,1,2,1,2,14,2,15
DAVIDSON HOMES LLC,46,26,11,1,0,0,1,11,14,4
MADISON COUNTY COMMISSION,45,22,18,3,1,0,2,18,5,15
BIRMINGHAM CITY OF,42,24,23,3,5,0,8,20,5,18
JEFFERSON COUNTY COMMISSION,41,19,17,6,4,2,7,14,2,15
REED CONTRACTING SERVICES INC,41,14,7,0,0,0,0,7,2,7
WIREGRASS CONSTRUCTION CO INC,40,8,5,1,0,1,2,4,2,3
UNIVERSITY OF ALABAMA,39,8,5,2,1,0,1,5,0,5
XXX,39,33,24,6,3,2,3,22,13,16
TUSCALOOSA CITY OF,38,9,9,0,1,0,2,9,0,9
VALOR COMMUNITIES LLC,38,8,6,0,4,0,4,4,3,3
W S NEWELL AND SONS INC,37,19,5,0,0,0,1,5,6,3
ATHENS CITY OF,37,28,21,2,0,0,1,21,6,17
TUSCALOOSA COUNTY COMMISSION,34,6,4,4,1,0,3,3,3,1
SDH ALABAMA LLC,34,17,13,5,7,1,10,9,7,7
MCDONALDS USA LLC,33,27,18,1,2,0,2,16,4,17
CAMPBELL AND MANCE RESOURCES LLC,33,23,17,1,1,0,0,17,7,12
TCC INC,32,13,4,1,0,2,2,1,3,4
GFC CONSTRUCTION INC,32,9,8,3,2,0,5,8,2,6
LEE COUNTY COMMISSION,32,13,8,0,0,0,0,8,1,8
