year,inspections,with_problem,silt,inlet,gravel,veg,general,pct_problem
2010,9,4,2,0,0,4,1,44.4
2011,417,122,36,30,6,59,81,29.3
2012,3294,1129,351,286,103,465,757,34.3
2013,3116,985,300,187,116,349,710,31.6
2014,3231,1274,388,227,128,374,908,39.4
2015,3418,1408,379,190,168,392,1028,41.2
2016,2596,1118,278,216,141,285,829,43.1
2017,2394,1225,161,135,76,201,1070,51.2
2018,2146,1301,252,160,79,272,1098,60.6
2019,2132,1345,242,194,57,294,1115,63.1
2020,1629,1113,181,134,81,239,957,68.3
2021,1643,989,393,196,77,374,618,60.2
2022,1704,881,233,150,53,251,666,51.7
2023,1583,847,107,65,23,161,746,53.5
2024,1769,1065,107,71,30,154,959,60.2
2025,1699,1067,154,85,20,181,949,62.8
2026,425,279,44,20,7,50,246,65.6
