year,sites_started,sites_inspected,self_inspected,sites_enforced,sites_terminated,pct_inspected,pct_enforced
2011,1183,811,131,298,828,68.6,25.2
2012,1817,1302,170,459,1280,71.7,25.3
2013,1306,912,66,273,928,69.8,20.9
2014,1249,787,37,215,835,63.0,17.2
2015,1326,882,38,277,871,66.5,20.9
2016,1186,812,41,259,801,68.5,21.8
2017,1430,900,31,237,986,62.9,16.6
2018,1296,841,35,250,894,64.9,19.3
2019,1419,806,42,192,883,56.8,13.5
2020,1370,657,24,175,834,48.0,12.8
2021,1745,1006,14,252,1113,57.7,14.4
2022,1727,969,21,225,1049,56.1,13.0
2023,1625,799,20,201,940,49.2,12.4
2024,1646,696,25,166,751,42.3,10.1
2025,1650,447,18,86,289,27.1,5.2
2026,350,27,1,6,3,7.7,1.7
